"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","ASSESSMENT_TYPE__C","DESCRIPTION__C","SORT_ORDER__C","EXTERNAL_ID__C","HEADER__C"
"a0X110000005KaOEAU","005U0000001BHukIAG","false","Programs Exterior Surroundings","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Define specific environmental issues around the home which pose a risk for the person, such as: stair railings, playground equipment, chemicals in the environment, etc.","9.0","a0XJ0000001ONcLMAW","Environment"
"a0X110000005KaPEAU","005U0000001BHukIAG","false","Sensory Limitations","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Define specific sensory issues, such as: limited peripheral vision, inability to sense hot/cold, hearing limitations, depth perception issues, individual experiences sesnory overload, or other specific diagnosis (legally blind, deaf, etc.). 
Identify adaptive equipment (glasses, hearing aids, communication devices, modified alarms, etc.) and describe process to ensure equipment is used, working properly, and the person and/or staff persons know how to use them correctly.","3.0","a0XJ0000001ONcFMAW","Health"
"a0X110000005KaQEAU","005U0000001BHukIAG","false","Personal","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Does the person place themselves at risk by exhibiting dangerous behaviors? Do they wear shorts outside in the winter time? Do they close the door when using the bathroom? Do they knock before entering when a door is closed? Do they understand evacuation procedures in their environment?  Is there a physical condition which limits their ability to respond to dangerous situations? Define the specific behaviors displayed or diagnosis, which place the person at risk of environmental dangers.
Specify exact measures to take to ensure safety.  Examples include:  specific verbal or physical assistance, supervision requirements in the home and outside the home, sunscreen, storage of knives, scissors, and other potentially dangerous household items, availability of fire extinguishers, evacuation drills, alarms on doors, water temperature regulated, anti-scald device, measures to take with person to prevent burns, description of training for the person and reference Therapeutic Support Plan, including documentation system for behavior data, as applicable.","6.0","a0XJ0000001ONcIMAW","Safety"
"a0X110000005KaREAU","005U0000001BHukIAG","false","General Environment","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Is the person unable to unlock doors? Would the person be at risk of being alone at home or in the community? Does the person have a history of not responding independently to weather conditions/warnings (tornado, blizzard, etc.)?
Describe training for the person to reduce the risk and specific verbal and/or physical assistance to ensure safety.","11.0","a0XJ0000001ONcNMAW","Environment"
"a0X110000005KaSEAU","005U0000001BHukIAG","false","Physical, Sexual, Verbal/Emotional","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Is the person able to identify what abuse is? Is the person able to remose self from potential abusive situations?
Describe how the person is unable to defend themselves against physical abuse or unable to report abuse to staff or others.  Also identify specific behaviors which may place them at risk of abuse. Examples may include history of threatening people, hitting others, etc.
Describe training for the person to reduce the risk and specific verbal and/or physical assistance to ensure safety. Reference Therapeutic Support Plan or other methodology to address behaviors that may provoke abuse.
Define risk areas related to sexual abuse potential. Does person engage in unsafe sexual practices? Would they be able to defend themselves against undesired sexual advances? Would they be able to report sexual abuse to staff or others?
Describe training for the person to reduce the risk, specific verbal and/or physical assistance to ensure safety, education programs for safe sex practices, etc.
Is the person at risk of being verbally or emotionally abused? Describe specifically what places them at risk. Would they remove themselves from situations which are abusive? Do they use good judgment when choosing friends? Do they understand acceptable boundaries?
Describe training for the person to reduce the risk and specific verbal and/or physical assistance to ensure safety. Reference Therapeutic Support Plan or other methodology to address behaviors that may provoke abuse, etc.","12.0","a0XJ0000001ONcOMAW","Abuse"
"a0X110000005KaTEAU","005U0000001BHukIAG","false","Community","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","What specifically places the person at risk in the community? Examples may include inability to relay personal information, refusal to wear seat belts in vehicles or opening doors of moving vehicles, unaware of need to look for traffic when crossing streets or parking lots, history of not safely using public transportation, history of theft or extreme behaviors when in community, etc.
Specify exact measures to take to ensure safety.  Examples include:  specific verbal or physical assistance, proximity of staff person(s) when in the community, adaptive or safety equipment, instruction/training prior to going into the community, etc.","7.0","a0XJ0000001ONcJMAW","Safety"
"a0X110000005KaUEAU","005U0000001BHukIAG","false","Program’s location in a neighborhood","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","Define specific environmental issues around the home which pose a risk for the person, such as: home is located near busy streets and person has a history of elopement and lacks street safety skills. Also identify any other areas in the neighborhood which may present a risk, such as: dangerous neighborhood, random shootings, prostitution, or drug activity.
Describe training for the person to reduce the risk, specific verbal and/or physical assistance to ensure safety, proximity of staff persons when in the neighborhood, life jackets/other flotation devices, fences or other protective barriers, etc.","8.0","a0XJ0000001ONcKMAW","Environment"
"a0X110000005KaVEAU","005U0000001BHukIAG","false","Medications","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","Is the individual at risk with self-medication? Identify what the person specifically does that presents the risk. Examples may include refusing to take medications, follow specific treatments, or doctor's orders. Identify if a person is on multiple medications and list possible side effects or reference document where side effects are listed.  Identify any medication side effects that have been exhibited by the person.  Describe medication administration system and what to do if side effects occur.  Describe health care coordination and staff training for medication administration and monitoring.","5.0","a0XJ0000001ONcHMAW","Health"
"a0X110000005KaWEAU","005U0000001BHukIAG","false","Programs Interior Surroundings","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","Define specific environmental issues around the home which pose a risk for the person, such as: unprotected outlets, door locks, etc.  Are there any areas of the home where the person is vulnerable when in them?","10.0","a0XJ0000001ONcMMAW","Environment"
"a0X110000005KaXEAU","005U0000001BHukIAG","false","Behavioral","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","","15.0","a0XJ0000001ONcRMAW","Abuse"
"a0X110000005KaYEAU","005U0000001BHukIAG","false","Self Abuse","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","005U0000001BHukIAG","2014-02-28T00:24:24.000Z","","","a0cJ0000002kcpIIAQ","Define specific self-abusive behaviors the person displays that pose a risk to themself or to other. Examples may include injuring themselves to the point of needing medical care, exposing others to blood borne pathogens, history of self abuse which has caused irreparable harm to the person (for example, hitting head and now is blind as a result) etc.
Identify specific verbal and/or physical assistance to ensure safety. Reference Therapeutic Support Plan or other methodology to address behaviors of self injury, use of helmets, padding or other protective equipment, etc.","14.0","a0XJ0000001ONcQMAW","Abuse"
