"ID","NAME","FACILITYID__C","PROGRAM_CODE__C","PROGRAM_VALUE__C","SERVICE_CODE__C","SERVICE_VALUE__C","STATE__C","AVATAR_UPLOAD_ID__C","LOCATION__C","PROGRAM__C","SERVICE_LINE__C","ASSESSMENT_ONLY__C","END_DATE__C","START_DATE__C"
"a0NU0000009rYEVMA2","SC-001733","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90806","90806-Individual Therapy (45-50 min)","FL","10-9999981090-90806","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEWMA2","SC-001734","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90806","90806-Individual Therapy (45-50 min)","FL","10-9999981090-90806","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEXMA2","SC-001735","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90832","90832-Individual Therapy (16-37 min)","FL","10-9999981090-90832","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEYMA2","SC-001736","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90832","90832-Individual Therapy (16-37 min)","FL","10-9999981090-90832","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEZMA2","SC-001737","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90834","90834-Individual Therapy (38-52 min)","FL","10-9999981090-90834","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEaMAM","SC-001738","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90834","90834-Individual Therapy (38-52 min)","FL","10-9999981090-90834","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEbMAM","SC-001739","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90837","90837-Individual Therapy (53-67 min)","FL","10-9999981090-90837","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEcMAM","SC-001740","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90837","90837-Individual Therapy (53-67 min)","FL","10-9999981090-90837","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEdMAM","SC-001741","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90846","90846-Family Therapy w/o Patient","FL","10-9999981090-90846","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEeMAM","SC-001742","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90846","90846-Family Therapy w/o Patient","FL","10-9999981090-90846","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEfMAM","SC-001743","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90847","90847-Family Therapy w/ Patient","FL","10-9999981090-90847","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEgMAM","SC-001744","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90847","90847-Family Therapy w/ Patient","FL","10-9999981090-90847","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEhMAM","SC-001745","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90808L","90808L-Individual Therapy (75+ min) (Licensed)","FL","10-9999981090-90808L","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEiMAM","SC-001746","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90808L","90808L-Individual Therapy (75+ min) (Licensed)","FL","10-9999981090-90808L","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEjMAM","SC-001747","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90808N","90808N-Individual Therapy (75+ min) (non-Licensed)","FL","10-9999981090-90808N","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEkMAM","SC-001748","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90808N","90808N-Individual Therapy (75+ min) (non-Licensed)","FL","10-9999981090-90808N","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYElMAM","SC-001749","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0004","H0004-Individual Therapy","FL","10-9999981090-H0004","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEmMAM","SC-001750","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0004","H0004-Individual Therapy","FL","10-9999981090-H0004","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEnMAM","SC-001751","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999981090-H0031HO","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEoMAM","SC-001752","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999981090-H0031HO","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYEpMAM","SC-001753","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999981090-H0031TS","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEqMAM","SC-001754","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999981090-H0031TS","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYErMAM","SC-001755","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","H0032","H0032-Development of Individualized Treatment Plan","FL","10-9999981090-H0032","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIXMA2","SC-001987","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","90808N","90808N-Individual Therapy (75+ min) (non-Licensed)","FL","10-9999981097-90808N","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIYMA2","SC-001988","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","90808N","90808N-Individual Therapy (75+ min) (non-Licensed)","FL","10-9999981097-90808N","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIZMA2","SC-001989","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0004","H0004-Individual Therapy","FL","10-9999981097-H0004","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIaMAM","SC-001990","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0004","H0004-Individual Therapy","FL","10-9999981097-H0004","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIbMAM","SC-001991","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999981097-H0031HO","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIcMAM","SC-001992","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999981097-H0031HO","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIdMAM","SC-001993","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999981097-H0031TS","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIeMAM","SC-001994","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999981097-H0031TS","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIfMAM","SC-001995","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0032","H0032-Development of Individualized Treatment Plan","FL","10-9999981097-H0032","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIgMAM","SC-001996","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0032","H0032-Development of Individualized Treatment Plan","FL","10-9999981097-H0032","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIhMAM","SC-001997","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0032TS","H0032TS-Treatment Plan Review","FL","10-9999981097-H0032TS","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIiMAM","SC-001998","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H0032TS","H0032TS-Treatment Plan Review","FL","10-9999981097-H0032TS","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIjMAM","SC-001999","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999981097-H2000HP","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIkMAM","SC-002000","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999981097-H2000HP","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIlMAM","SC-002001","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999981097-H2010","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYImMAM","SC-002002","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999981097-H2010","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYInMAM","SC-002003","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2010HO","H2010HO-Brief MH Status Exam","FL","10-9999981097-H2010HO","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIoMAM","SC-002004","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","H2010HO","H2010HO-Brief MH Status Exam","FL","10-9999981097-H2010HO","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIpMAM","SC-002005","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","MG/H0046","MG/H0046-Behavioral Health Screening","FL","10-9999981097-MG/H0046","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIqMAM","SC-002006","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","MG/H0046","MG/H0046-Behavioral Health Screening","FL","10-9999981097-MG/H0046","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYIrMAM","SC-002007","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","MG/T1023HE","MG/T1023HE-Behavioral Health Services","FL","10-9999981097-MG/T1023HE","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYIsMAM","SC-002008","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","MG/T1023HE","MG/T1023HE-Behavioral Health Services","FL","10-9999981097-MG/T1023HE","N. Miami","Miami","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYItMAM","SC-002009","10","9999981097","FL-MNTR-OPT-N. Miami-ARY","T1007","T1007-Individualized TX Plan Development-SA","FL","10-9999981097-T1007","N. Miami","Miami","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMkMAM","SC-002244","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","H2010HO","H2010HO-Brief MH Status Exam","FL","10-9999981093-H2010HO","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMlMAM","SC-002245","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","MG/H0046","MG/H0046-Behavioral Health Screening","FL","10-9999981093-MG/H0046","Sarasota","Sarasota","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMmMAM","SC-002246","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","MG/H0046","MG/H0046-Behavioral Health Screening","FL","10-9999981093-MG/H0046","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMnMAM","SC-002247","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","MG/T1023HE","MG/T1023HE-Behavioral Health Services","FL","10-9999981093-MG/T1023HE","Sarasota","Sarasota","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMoMAM","SC-002248","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","MG/T1023HE","MG/T1023HE-Behavioral Health Services","FL","10-9999981093-MG/T1023HE","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMpMAM","SC-002249","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1007","T1007-Individualized TX Plan Development-SA","FL","10-9999981093-T1007","Sarasota","Sarasota","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMqMAM","SC-002250","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1007","T1007-Individualized TX Plan Development-SA","FL","10-9999981093-T1007","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMrMAM","SC-002251","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1007TS","T1007TS-Treatment Plan Review- SA","FL","10-9999981093-T1007TS","Sarasota","Sarasota","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMsMAM","SC-002252","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1007TS","T1007TS-Treatment Plan Review- SA","FL","10-9999981093-T1007TS","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMtMAM","SC-002253","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1015","T1015-Medical Management","FL","10-9999981093-T1015","Sarasota","Sarasota","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYMuMAM","SC-002254","10","9999981093","FL-MNTR-OPT-Sarasota-ARY","T1015","T1015-Medical Management","FL","10-9999981093-T1015","Sarasota","Sarasota","Outpatient Therapy","true","","2012-01-01"
"a0NU0000009rYMvMAM","SC-002255","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999991098-H0031HO","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYMwMAM","SC-002256","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999991098-H0031HO","S. Broward","Broward","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYMxMAM","SC-002257","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999991098-H0031TS","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYMyMAM","SC-002258","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999991098-H0031TS","S. Broward","Broward","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYMzMAM","SC-002259","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999991098-H2000HP","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYN0MAM","SC-002260","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999991098-H2000HP","S. Broward","Broward","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYN1MAM","SC-002261","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999991098-H2010","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYN2MAM","SC-002262","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999991098-H2010","S. Broward","Broward","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYN3MAM","SC-002263","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2010HO","H2010HO-Brief MH Status Exam","FL","10-9999991098-H2010HO","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYN4MAM","SC-002264","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","H2010HO","H2010HO-Brief MH Status Exam","FL","10-9999991098-H2010HO","S. Broward","Broward","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYN5MAM","SC-002265","10","9999991098","FL-MNTR-IIH-S. Broward-ARY","MG/H0046","MG/H0046-Behavioral Health Screening","FL","10-9999991098-MG/H0046","S. Broward","Broward","Intensive In Home","false","","2012-01-01"
"a0NU000000AkZpjMAF","SC-003829","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H0004-MAGB4","H0004-MAGB4 - Mod HS, BH counsel w/Family","AZ","14-9999991499-H0004-MAGB4","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqOMAV","SC-003830","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H0004-MAGB2","H0004-MAGB2- Mod HQ, BH counsel w/ Group","AZ","14-9999991499-H0004-MAGB2","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqPMAV","SC-003831","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H0031-MAGB","H0031-MAGB-Mental health assess by non-physician (MAG-No Mod)","AZ","14-9999991499-H0031-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqQMAV","SC-003832","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H0025-MAGB","H0025-Prevention Education Svc - Per person (MAG-No Mod)","AZ","14-9999991499-H0025-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqRMAV","SC-003833","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H0034-MAGB","H0034-MAGB-Medication train/support per 15 min (MAG-No Mod)","AZ","14-9999991499-H0034-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqSMAV","SC-003834","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2014-MAGB1","H2014-MAGB1- Skills training & Development","AZ","14-9999991499-H2014","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqTMAV","SC-003835","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2014-MAGB2","H2014-MAGB2- Skills Train/Dev - Group per 15 min (MAG-Mod HQ)","AZ","14-9999991499-H2014-MAGB2","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqUMAV","SC-003836","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2017-MAGB","H2017-Psychosocial Rehab Svc per 15 min (MAG-No Mod)","AZ","14-9999991499-H2017-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqVMAV","SC-003837","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2025MAGB","H2025MAGB - Ongoing Employ Support (MAGB)","AZ","14-9999991499-H2025MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqWMAV","SC-003838","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2027-MAGB","H2027-Psychoeducational Svc per 15 min (MAG-No Mod)","AZ","14-9999991499-H2027-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqXMAV","SC-003839","14","122874001","AZ-MNTR-OPT-Phoenix-MH","T1013MAGB","T1013-MAGB Interpretive Svcs per contact","AZ","14-9999991499-T1013MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqYMAV","SC-003840","14","122874001","AZ-MNTR-OPT-Phoenix-MH","T1016-MAGB1","T1016-MAGB1 Case Mgmt by BH Professional - per 15 min (MAG-Mod HO)","AZ","14-9999991499-T1016-MAGB1","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqZMAV","SC-003841","14","122874001","AZ-MNTR-OPT-Phoenix-MH","T1016-MAGB2","T1016-MAGB2 - Office Case Mgmt - per 15 min (MAG-Mod HN)","AZ","14-9999991499-T1016-MAGB2","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqaMAF","SC-003842","14","122874001","AZ-MNTR-OPT-Phoenix-MH","T1019-MAGB","T1019-MAGB-Personal Svc Non-Residential per 15 min (MAG-No-Mod)","AZ","14-9999991499-T1019-MAGB","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqbMAF","SC-003843","14","122874001","AZ-MNTR-OPT-Phoenix-MH","T1020","T1020-MAG SCA Personal Care Service","AZ","14-9999991499-T1020","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqcMAF","SC-003844","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2011-MAGB1","H2011-Crisis Interv 1:1 per 15 min (MAGB-No Mod)","AZ","14-9999991499-H2011-MAGB1","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqdMAF","SC-003845","14","122874001","AZ-MNTR-OPT-Phoenix-MH","H2011-MAGB2","H2011-HT-Crisis Interv 1:2 per 15 min (MAG-Mod HT)","AZ","14-9999991499-H2011HT","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqeMAF","SC-003846","14","122874001","AZ-MNTR-OPT-Phoenix-MH","A0090","A0090-NonEmer transport, per mile, vhcl provided by indiv w/vested interest","AZ","14-9999991499-A0090","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqfMAF","SC-003847","14","122874001","AZ-MNTR-OPT-Phoenix-MH","A0170","A0170-Non-Emergency transport; ancillary services-parking fees, tolls other","AZ","14-9999991499-A0170","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
"a0NU000000AkZqgMAF","SC-003848","14","122874001","AZ-MNTR-OPT-Phoenix-MH","A0210","A0210-Non-Emergency transport; escort meals","AZ","14-9999991499-A0210","Phoenix","Phoenix","Outpatient Therapy","false","","2012-01-01"
