"ID","OWNERID","NAME","LASTMODIFIEDDATE","LASTMODIFIEDBYID","ALIAS__C","CITY__C","FACILITYID__C","PHONE__C","PROGRAMID__C","PROGRAM__C","SERVICE_VALUE__C","SETTING__C","STATE__C","STREET__C","UNIQUEID__C","ZIP__C"
"a0vU0000001FO12IAG","005U0000001BtzpIAC","365200","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365200","Rochester","5.0","507-280-4453","365200000","MN-REMRB-SL-Golden Hill-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","924 23rd St. Se","5||365200000","55904-5684"
"a0vU0000001FO13IAG","005U0000001BtzpIAC","365156","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365156","Rochester","5.0","651-686-9410","365156000","MN-REMRB-SL-East River-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","143 River Court Ne","5||365156000","55906-2825"
"a0vU0000001FO14IAG","005U0000001BtzpIAC","560095","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560095","Benwood","1.0","","560095003","WV-CO-SL-RB GRANT 560095-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","WV","","1||560095003","26031-1100"
"a0vU0000001FO15IAG","005U0000001BtzpIAC","560111","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560111","Wheeling","1.0","304-243-0513","560111001","WV-CO-SL-ALBERTAAVE-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","2 Shirk Lane","1||560111001","26003-1521"
"a0vU0000001FO16IAG","005U0000001BtzpIAC","560112","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560112","Benwood","1.0","304-232-8015","560112001","WV-CO-SL-MEADOWLANDS-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","147 Roosevelt Rd","1||560112001","26031-1030"
"a0vU0000001FO17IAG","005U0000001BtzpIAC","560113","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560113","Wheeling","1.0","304-277-1951","560113001","WV-CO-SL-STACEYCROSS-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","939 Betty Zane Road","1||560113001","26003-1703"
"a0vU0000001FO18IAG","005U0000001BtzpIAC","560114","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560114","Triadelphia","1.0","304-909-0090","560114001","WV-CO-SL-WAYNEROAD-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","Rr 1 Box 346","1||560114001","26059-9607"
"a0vU0000001FO19IAG","005U0000001BtzpIAC","365202","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365202","Rochester","5.0","507-252-8843","365202000","MN-REMRB-SL-Cedarwood-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1479 Sunset Avenue Se","5||365202000","55904-5881"
"a0vU0000001FO1AIAW","005U0000001BtzpIAC","106040","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106040","Rancho Cucamonga","7.0","","106040001","CA-CVS-DAYTX-ORANGE CO 1-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106040001","91729"
"a0vU0000001FO1BIAW","005U0000001BtzpIAC","106040","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106040","Rancho Cucamonga","7.0","","106040002","CA-CVS-DAYTX-ORANGE CO 1-ONE TO ONE-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106040002","91729"
"a0vU0000001FO1CIAW","005U0000001BtzpIAC","106040","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106040","Rancho Cucamonga","7.0","","106040003","CA-CVS-DAYTX-ORANGE CO 1-TRANS-IDD","IDD - Non-Residential Other","Outpatient","CA","9166 Anaheim Pl. Ste. 200","7||106040003","91730"
"a0vU0000001FO1DIAW","005U0000001BtzpIAC","365201","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365201","Rochester","5.0","507-282-2711","365201000","MN-REMRB-SL-John Marshall-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1301 &1303 14th St","5||365201000","55901-4343"
"a0vU0000001FO1EIAW","005U0000001BtzpIAC","560119","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560119","Benwood","1.0","304-233-3474","560119001","WV-CO-CM-WHEELINGCM-IDD","IDD - Non-Residential Other","Outpatient","WV","748 Mcmechen Street","1||560119001","26031-1100"
"a0vU0000001FO1FIAW","005U0000001BtzpIAC","560119","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560119","Benwood","1.0","","560119002","WV-CO-CM-TRANSITION GRANT-IDD","IDD - Non-Residential Other","Outpatient","WV","748 Mcmechen St","1||560119002","26031-1100"
"a0vU0000001FO1GIAW","005U0000001BtzpIAC","560114","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560114","Benwood","1.0","","560114002","WV-CO-SL-RB GRANT 560114-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","WV","","1||560114002","26031-1100"
"a0vU0000001FO1HIAW","005U0000001BtzpIAC","560115","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560115","Wheeling","1.0","304-277-2726","560115001","WV-CO-SL-FORTHENRY-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","106 N 19th Street","1||560115001","26003-7042"
"a0vU0000001FO1IIAW","005U0000001BtzpIAC","560116","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560116","Wheeling","1.0","304-242-1719","560116001","WV-CO-SL-CARMELRD-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","45 Allen Ridge","1||560116001","26003-1362"
"a0vU0000001FO1JIAW","005U0000001BtzpIAC","560116","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560116","Benwood","1.0","","560116002","WV-CO-SL-RB GRANT 560116-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","WV","","1||560116002","26031-1100"
"a0vU0000001FO1KIAW","005U0000001BtzpIAC","560117","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560117","Wheeling","1.0","304-242-0685","560117001","WV-CO-SL-TRIDELPHIA-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","79 1/2 Lynwood","1||560117001","26003-1532"
"a0vU0000001FO1LIAW","005U0000001BtzpIAC","560118","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560118","Benwood","1.0","304-232-0395","560118001","WV-CO-SL-POPLAR-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","748 Mcmechen Street","1||560118001","26031-1100"
"a0vU0000001FO1MIAW","005U0000001BtzpIAC","106050","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106050","Rancho Cucamonga","7.0","","106050001","CA-CVS-DAYTX-RIVRSIDE 1-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106050001","91729"
"a0vU0000001FO1NIAW","005U0000001BtzpIAC","106060","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106060","Rancho Cucamonga","7.0","","106060001","CA-CVS-DAYTX-YUCAIPA-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106060001","91729"
"a0vU0000001FO1OIAW","005U0000001BtzpIAC","106070","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106070","Rancho Cucamonga","7.0","","106070001","CA-CVS-DAYTX-ORANGE CO 2-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106070001","91729"
"a0vU0000001FO1PIAW","005U0000001BtzpIAC","106070","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106070","Rancho Cucamonga","7.0","","106070002","CA-CVS-DAYTX-ORANGE CO 2-ONE TO ONE-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106070002","91729"
"a0vU0000001FO1QIAW","005U0000001BtzpIAC","106070","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106070","Rancho Cucamonga","7.0","","106070003","CA-CVS-DAYTX-ORANGE CO 2-TRANS-IDD","IDD - Non-Residential Other","Outpatient","CA","9166 Anaheim Pl. Ste 200","7||106070003","91730"
"a0vU0000001FO1RIAW","005U0000001BtzpIAC","106080","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106080","Rancho Cucamonga","7.0","","106080001","CA-CVS-DAYTX-LONG BEACH-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","9166 Anaheim Place #200","7||106080001","91730"
"a0vU0000001FO1SIAW","005U0000001BtzpIAC","106100","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106100","Rancho Cucamonga","7.0","","106100001","CA-CVS-DAYTX-MORENO VLY-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106100001","91729"
"a0vU0000001FO1TIAW","005U0000001BtzpIAC","560121","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560121","Wheeling","1.0","304-905-0409","560121001","WV-CO-SL-PROVIDENCEBREEN-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Inpatient/Residential","WV","8 5th Street","1||560121001","26003-2554"
"a0vU0000001FO1UIAW","005U0000001BtzpIAC","560122","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560122","Benwood","1.0","","560122001","WV-CO-SL-WHEELINGDRS-IDD","IDD - Non-Residential Other","Outpatient","WV","748 Mcmechen Street","1||560122001","26031-1100"
"a0vU0000001FO1VIAW","005U0000001BtzpIAC","560131","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560131","Sistersville","1.0","304-652-2050","560131001","WV-CO-SL-SISTERSVILLEWAIVA-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","244 S Wells Street","1||560131001","26175-1130"
"a0vU0000001FO1WIAW","005U0000001BtzpIAC","560132","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560132","Sistersville","1.0","304-652-2050","560132001","WV-CO-SL-SISTERSVILLEWAIVD-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","244 S Wells Street","1||560132001","26175-1130"
"a0vU0000001FO1XIAW","005U0000001BtzpIAC","560133","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560133","Sistersville","1.0","304-652-2050","560133001","WV-CO-SL-SISTERSVILLEWAIVH-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","244 S Wells Street","1||560133001","26175-1130"
"a0vU0000001FO1YIAW","005U0000001BtzpIAC","560133","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560133","New Martinsville","1.0","","560133002","REM WV-CO NEW MART  DT-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","WV","1200 North, State Route 2","1||560133002","26155"
"a0vU0000001FO1ZIAW","005U0000001BtzpIAC","560134","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","560134","Saint Marys","1.0","304-684-1010","560134001","WV-CO-SL-STMARYSWAIVERA-IDD","IDD - Residential Group Home","Inpatient/Residential","WV","210 Second Street Suite 1, 2 & 3","1||560134001","26170-1097"
"a0vU0000001FO1aIAG","005U0000001BtzpIAC","106110","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106110","Rancho Cucamonga","7.0","","106110001","CA-CVS-DAYTX-COVINA 2-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106110001","91729"
"a0vU0000001FO1bIAG","005U0000001BtzpIAC","106110","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106110","Covina","7.0","","106110002","CA-CVS-DAYTX-COVINA 2-TRANS-IDD","IDD - Non-Residential Day Activity","Outpatient","CA","515 S Second Avenue","7||106110002","91723"
"a0vU0000001FO1cIAG","005U0000001BtzpIAC","106130","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106130","Rancho Cucamonga","7.0","","106130001","CA-CVS-DAYTX-CAMARILLO-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","9166 Anaheim Pl. #200","7||106130001","91730"
"a0vU0000001FO1dIAG","005U0000001BtzpIAC","106130","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106130","Rancho Cucamonga","7.0","","106130002","CA-CVS-DAYTX-CAMARILLO-ONE TO ONE-IDD","IDD - Non-Residential Other","Outpatient","CA","9166 Anaheim Pl. #200","7||106130002","91730"
"a0vU0000001FO1eIAG","005U0000001BtzpIAC","106140","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106140","Rancho Cucamonga","7.0","","106140001","CA-CVS-DAYTX-RIVRSIDE 2-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106140001","91729"
"a0vU0000001FO1fIAG","005U0000001BtzpIAC","106140","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106140","Rancho Cucamonga","7.0","","106140002","CA-CVS-DAYTX-RIVRSIDE 2-TRANS-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106140002","91729"
"a0vU0000001FO1gIAG","005U0000001BtzpIAC","106140","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106140","Riverside","7.0","951-785-4373","106140003","CA-CVS-DAYTX-RIVRSIDE 2-ONE TO ONE-IDD","IDD - Non-Residential Day Activity","Outpatient","CA","7203 Arlington Ave Suite Abc","7||106140003","92503-1525"
"a0vU0000001FO1hIAG","005U0000001BtzpIAC","106150","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106150","Rancho Cucamonga","7.0","","106150001","CA-CVS-DAYTX-CUCAMONGA-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","P O Box 1509","7||106150001","91729"
"a0vU0000001FO1iIAG","005U0000001BtzpIAC","106150","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106150","Rancho Cucamonga","7.0","","106150002","CA-CVS-DAYTX-CUCAMONGA-TRANS-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106150002","91729"
"a0vU0000001FO1jIAG","005U0000001BtzpIAC","106160","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","106160","Rancho Cucamonga","7.0","","106160001","CA-CVS-DAYTX-ONTARIO-DAY PGM-IDD","IDD - Non-Residential Other","Outpatient","CA","PO BOX 1509","7||106160001","91729"
"a0vU0000001FO1kIAG","005U0000001BtzpIAC","365100","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365100","Rochester","5.0","507-289-3319","365100000","MN-REMRB-CSS-Olmsted SILS-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","1905 3rd Ave Se","5||365100000","55904-7935"
"a0vU0000001FO1lIAG","005U0000001BtzpIAC","365115","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365115","Rochester","5.0","507-281-4939","365115000","MN-REMRB-ICF-Willow Creek A-IDD","IDD - Residential ICF/MR","Inpatient/Residential","MN","1621 10th St Se","5||365115000","55904-5120"
"a0vU0000001FO1mIAG","005U0000001BtzpIAC","365120","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365120","Rochester","5.0","507-281-1105","365120000","MN-REMRB-ICF-Rochester NW-IDD","IDD - Residential ICF/MR","Inpatient/Residential","MN","2509 55th St Nw","5||365120000","55901-0190"
"a0vU0000001FO1nIAG","005U0000001BtzpIAC","365125","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365125","Rochester","5.0","","365125000","MN-REMRB-ICF-Willow Creek B-IDD","IDD - Residential ICF/MR","Inpatient/Residential","MN","2206 11th Ave Se","5||365125000","55904-5693"
"a0vU0000001FO1oIAG","005U0000001BtzpIAC","365130","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365130","Red Wing","5.0","651-388-7158","365130000","MN-REMRB-ICF-Park Heights-IDD","IDD - Residential ICF/MR","Inpatient/Residential","MN","2606 Malmquist Ave","5||365130000","55066-3949"
"a0vU0000001FO1pIAG","005U0000001BtzpIAC","365110","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365110","Rochester","5.0","507-289-2696","365110000","MN-REMRB-ICF-Rochester SE-IDD","IDD - Residential ICF/MR","Inpatient/Residential","MN","1631 19th Ave Se","5||365110000","55904-5770"
"a0vU0000001FO1qIAG","005U0000001BtzpIAC","370744","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370744","Willmar","5.0","320-235-9174","370744000","MN-REMSCS-SL-45th Street-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1300 Se 45th St","5||370744000","56201-9612"
"a0vU0000001FO1rIAG","005U0000001BtzpIAC","355176","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355176","Moorhead","5.0","218-287-1943","355176000","MN-REMNS-SL-River Drive-ABI","ABI","Inpatient/Residential","MN","2610 North River Drive","5||355176000","56560-1427"
"a0vU0000001FO1sIAG","005U0000001BtzpIAC","355177","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355177","East Grand Forks","5.0","218-773-4348","355177000","MN-REMNS-SL-Whispering Winds-MH","IDD - Residential Group Home","Inpatient/Residential","MN","1613 11th Ave Se","5||355177000","56721-3232"
"a0vU0000001FO1tIAG","005U0000001BtzpIAC","355178","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355178","East Grand Forks","5.0","218-773-7439","355178000","MN-REMNS-SL-River's Edge-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1607 11th Ave Se","5||355178000","56721-3232"
"a0vU0000001FO1uIAG","005U0000001BtzpIAC","355182","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355182","Crookston","5.0","218-287-0982","355182000","MN-REMNS-CSS-Clay In-Home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","721 South Minnesota St","5||355182000","56716"
"a0vU0000001FO1vIAG","005U0000001BtzpIAC","355230","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355230","International Falls","5.0","218-283-5513","355230000","MN-REMNS-SL-Aspen Way-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","106 Aspen Way","5||355230000","56649-2893"
"a0vU0000001FO1wIAG","005U0000001BtzpIAC","355231","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355231","International Falls","5.0","218-463-1031","355231000","MN-REMNS-SL-Kooch-15th Ave-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1201 15th Ave","5||355231000","56649-2890"
"a0vU0000001FO1xIAG","005U0000001BtzpIAC","355232","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355232","International Falls","5.0","218-283-6212","355232000","MN-REMNS-SL-Home Lane-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1410 Home Lane","5||355232000","56649-2104"
"a0vU0000001FO1yIAG","005U0000001BtzpIAC","355251","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355251","Crookston","5.0","218-782-4413","355251000","MN-REMNS-CSS-Roseau In home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","721 South Minnesota St","5||355251000","56716-0707"
"a0vU0000001FO1zIAG","005U0000001BtzpIAC","355252","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355252","Bemidji","5.0","218-463-1031","355252000","MN-REMNS-CSS-Kooch SILVR-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","2301 Johanneson Ave. Nw","5||355252000","56751-1800"
"a0vU0000001FO20IAG","005U0000001BtzpIAC","355253","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355253","Bemidji","5.0","218-463-1031","355253000","MN-REMNS-CSS-Intl Falls SILS-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","2301 Johanneson Ave. Nw","5||355253000","56751-1800"
"a0vU0000001FO21IAG","005U0000001BtzpIAC","355254","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355254","Crookston","5.0","218-782-4413","355254000","MN-REMNS-CSS-Roseau SILS-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","721 South Minnesota St","5||355254000","56716-0707"
"a0vU0000001FO22IAG","005U0000001BtzpIAC","355255","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355255","Bemidji","5.0","218-444-5876","355255000","MN-REMNS-CSS-Robinson - In Home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","7329 Birchmont Court","5||355255000","56601-8641"
"a0vU0000001FO23IAG","005U0000001BtzpIAC","355305","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355305","Walker","5.0","218-547-1597","355305000","MN-REMNS-SL-Walker-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","10024 Eagle View Drive","5||355305000","56484-2500"
"a0vU0000001FO24IAG","005U0000001BtzpIAC","355324","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355324","Bemidji","5.0","218-751-7091","355324000","MN-REMNS-SL-Branch Court-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1004 Branch Court Nw","5||355324000","56601-8259"
"a0vU0000001FO25IAG","005U0000001BtzpIAC","355325","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355325","Bemidji","5.0","218-444-1870","355325000","MN-REMNS-SL-Birchmont-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","4443 Old Long Lake Road","5||355325000","56601-6052"
"a0vU0000001FO26IAG","005U0000001BtzpIAC","355326","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355326","Bemidji","5.0","218-751-9025","355326000","MN-REMNS-SL-Northwood-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1016 Balsam Rd Nw","5||355326000","56601-9715"
"a0vU0000001FO27IAG","005U0000001BtzpIAC","355329","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355329","Bemidji","5.0","218-759-6964","355329000","MN-REMNS-SL-Adams Ave-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","1638 Royal Oak Lane Nw","5||355329000","56601-8210"
"a0vU0000001FO28IAG","005U0000001BtzpIAC","355330","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355330","Bemidji","5.0","218-444-3145","355330000","MN-REMNS-SL-Kaye Ave-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","503 Kay Ave Se","5||355330000","56601-3636"
"a0vU0000001FO29IAG","005U0000001BtzpIAC","355332","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355332","Bemidji","5.0","218-444-3063","355332000","MN-REMNS-SL-Butterfly-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","920 Lake Ave Ne","5||355332000","56601-4013"
"a0vU0000001FO2AIAW","005U0000001BtzpIAC","355333","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","355333","Bemidji","5.0","218-444-1552","355333000","MN-REMNS-SL-Arrowwood-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","2631 Arrowwood Circle Nw","5||355333000","56601-8278"
"a0vU0000001FO2BIAW","005U0000001BtzpIAC","370650","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370650","Redwood Falls","5.0","507-637-3114","370650000","MN-REMSCS-SL-DeKalb A-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","201 So Dekalb","5||370650000","56283-1912"
"a0vU0000001FO2CIAW","005U0000001BtzpIAC","370651","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370651","Redwood Falls","5.0","507-637-3155","370651000","MN-REMSCS-SL-DeKalb B-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","404 So Dekalb","5||370651000","56283-1917"
"a0vU0000001FO2DIAW","005U0000001BtzpIAC","370652","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370652","Redwood Falls","5.0","507-637-3153","370652000","MN-REMSCS-SL-URen Lane-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","111 U'Ren Lane","5||370652000","56283-2272"
"a0vU0000001FO2EIAW","005U0000001BtzpIAC","370653","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370653","Redwood Falls","5.0","507-637-2045","370653000","MN-REMSCS-SL-Walnut-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","813 East Walnut St","5||370653000","56283-1225"
"a0vU0000001FO2FIAW","005U0000001BtzpIAC","370690","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","370690","Redwood Falls","5.0","507-637-3541","370690000","MN-REMSCS-CSS-Redwood In Home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","Redwood Falls County","5||370690000","56283-0000"
