"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","QUESTION__C","COLOR__C","RATING_DESCRIPTION__C","RATING__C","SCORE__C","QT__C","SHOW_EXTRA_FIELDS__C","SHOW_THESE_FIELDS__C","SORT_ORDER__C"
"a0Y110000008xloEAA","false","4048","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33MEAS","red","Significant problems with sexually reactive behaviors. Child exhibits sexual behaviors that place child or others at immediate risk.","3","6.0","SEXUALLY REACTIVE BEHAVIORS","false","",""
"a0Y110000008xlpEAA","false","4049","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33nEAC","green","There is no evidence that the child has experienced medical trauma.","0","0.0","MEDICAL TRAUMA","false","",""
"a0Y110000008xlqEAA","false","4050","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33nEAC","yellow","Child has had a medical experience that was mildly overwhelming for the child. Examples include events that were acute in nature and did not result in ongoing medical needs and associated distress such as minor surgery, stitches or a bone setting.","1","1.0","MEDICAL TRAUMA","false","",""
"a0Y110000008xlrEAA","false","4051","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33nEAC","orange","Child has had a medical experience that was perceived as moderately emotionally or mentally overwhelming. Such events might include acute injuries and moderately invasive medical procedures such as major surgery that require only short term hospitalization.","2","2.0","MEDICAL TRAUMA","false","",""
"a0Y110000008xlsEAA","false","4052","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33nEAC","red","Child has had a medical experience that was perceived as extremely emotionally or mentally overwhelming. The event itself may have been life threatening and may have resulted in chronic health problems that alter the child?s physical functioning.","3","6.0","MEDICAL TRAUMA","false","",""
"a0Y110000008xltEAA","false","4053","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33NEAS","green","Significant family strengths. There is at least one family member who has a strong loving relationship with the child and is able to provide significant emotional or concrete support.","0","0.0","FAMILY","false","",""
"a0Y110000008xluEAA","false","4054","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33NEAS","yellow","Moderate level of family strengths. There is at least one family member with a strong loving relationship who is able to provide limited emotional or concrete support.","1","1.0","FAMILY","false","",""
"a0Y110000008xlvEAA","false","4055","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33NEAS","orange","Mild level of family strengths. Family members are known, but currently none are able to provide emotional or concrete support.","2","2.0","FAMILY","false","",""
"a0Y110000008xlwEAA","false","4056","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33NEAS","red","This level indicates a child with no known family strengths. There are no known family members.","3","6.0","FAMILY","false","",""
"a0Y110000008xlxEAA","false","4057","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33oEAC","green","There is no evidence that child has witnessed family violence.","0","0.0","WITNESS TO FAMILY VIOLENCE","false","",""
"a0Y110000008xlyEAA","false","4058","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33oEAC","yellow","Child has witnessed one episode of family violence.","1","1.0","WITNESS TO FAMILY VIOLENCE","false","",""
"a0Y110000008xlzEAA","false","4059","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33oEAC","orange","Child has witnessed repeated episodes of family violence but no significant injuries (i.e. requiring emergency medical attention) have been witnessed.","2","2.0","WITNESS TO FAMILY VIOLENCE","false","",""
"a0Y110000008xm0EAA","false","4060","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33oEAC","red","Child has witnessed repeated and severe episodes of family violence or has had to intervene in episodes of family violence. Significant injuries have occurred and have been witnessed by the child as a direct result of the violence.","3","6.0","WITNESS TO FAMILY VIOLENCE","false","",""
"a0Y110000008xm1EAA","false","4061","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33OEAS","green","Significant interpersonal strengths. Child has close friends and is friendly with others.","0","0.0","INTERPERSONAL","false","",""
"a0Y110000008xmgEAA","false","4102","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33tEAC","red","Child has witnessed the death of another person in a terrorist attack, or has had friends or family members seriously injured as a result of terrorism, or has directly been injured by terrorism leading to significant injury or lasting impact.","3","6.0","TERRORISM AFFECTED","false","",""
"a0Y110000008xmhEAA","false","4103","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33TEAS","green","This level indicates a child with significant creative/artistic strengths. A child/youth who receives a significant amount of personal benefit from activities surrounding a talent would be rated here.","0","0.0","TALENT/INTERESTS","false","",""
"a0Y110000008xmiEAA","false","4104","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33TEAS","yellow","This level indicates a child with a notable talent. For example, a youth who is involved in athletics or plays a musical instrument, etc. would be rated here.","1","1.0","TALENT/INTERESTS","false","",""
"a0Y110000008xmjEAA","false","4105","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33TEAS","orange","This level indicates a child who has expressed interest in developing a specific talent or talents even if they have not developed that talent to date.","2","2.0","TALENT/INTERESTS","false","",""
"a0Y110000008xmkEAA","false","4106","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33TEAS","red","This level indicates a child with no known talents, interests, or hobbies.","3","6.0","TALENT/INTERESTS","false","",""
"a0Y110000008xmlEAA","false","4107","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33uEAC","green","There is no evidence that child has been victimized or witnessed significant criminal activity.","0","0.0","WITNESS/VICTIM TO CRIMINAL ACTIVITY","false","",""
"a0Y110000008xmmEAA","false","4108","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33uEAC","yellow","There is a strong suspicion or evidence that the child is a witness of at least one significant criminal activity.","1","1.0","WITNESS/VICTIM TO CRIMINAL ACTIVITY","false","",""
"a0Y110000008xmnEAA","false","4109","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33uEAC","orange","Child has witnessed multiple criminal activities and/or is a direct victim of criminal activity or witnessed the victimization of a family or friend.","2","2.0","WITNESS/VICTIM TO CRIMINAL ACTIVITY","false","",""
"a0Y110000008xmoEAA","false","4110","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33uEAC","red","Child has been exposed to chronic and/or severe instances of criminal activity and/or is a direct victim of criminal activity that was life threatening or caused significant physical harm or child witnessed the death of a loved one.","3","6.0","WITNESS/VICTIM TO CRIMINAL ACTIVITY","false","",""
"a0Y110000008xmpEAA","false","4111","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","005U0000001BHukIAG","2014-02-28T00:25:02.000Z","a0Z11000000D33UEAS","green","This level indicates a child with strong moral and spiritual strengths. Child may be very involved in a religious community or may have strongly held spiritual or religious beliefs that can sustain or comfort him/her in difficult times.","0","0.0","SPIRITUAL/RELIGIOUS","false","",""
"a0Y110000008xnKEAQ","false","4142","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D33zEAC","","","Does Not Present a Risk","","Reports mismanagement of finances","false","","2.0"
"a0Y110000008xnLEAQ","false","4143","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D33ZEAS","","","Presents a Risk","","Use of public transportation","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xnMEAQ","false","4144","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D33ZEAS","","","Does Not Present a Risk","","Use of public transportation","false","","2.0"
"a0Y110000008xnNEAQ","false","4145","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D340EAC","","","Presents a Risk","","Other","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xnOEAQ","false","4146","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D340EAC","","","Does Not Present a Risk","","Other","false","","2.0"
"a0Y110000008xnPEAQ","false","4147","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D341EAC","","","Presents a Risk","","Ability to open locked doors","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xnQEAQ","false","4148","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D341EAC","","","Does Not Present a Risk","","Ability to open locked doors","false","","2.0"
"a0Y110000008xnREAQ","false","4149","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D342EAC","","","Presents a Risk","","Ability to remain alone in any environment","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xnSEAQ","false","4150","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D342EAC","","","Does Not Present a Risk","","Ability to remain alone in any environment","false","","2.0"
"a0Y110000008xnTEAQ","false","4151","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","005U0000001BHukIAG","2014-02-28T00:25:05.000Z","a0Z11000000D343EAC","","","Presents a Risk","","Ability to respond to weather related conditions","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xowEAA","false","4242","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34OEAS","orange","Child is having problems with sleep. Sleep is often disrupted and child seldom obtains a full night of sleep.","2","2.0","SLEEP","false","",""
"a0Y110000008xoxEAA","false","4243","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34OEAS","red","Child is generally sleep deprived. Sleeping is difficult for the child and s/he is not able to get a full night?s sleep.","3","6.0","SLEEP","false","",""
"a0Y110000008xoyEAA","false","4244","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34pEAC","","","Presents a Risk","","Behaviors which may provoke abuse by others including consumers","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xozEAA","false","4245","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34pEAC","","","Does Not Present a Risk","","Behaviors which may provoke abuse by others including consumers","false","","2.0"
"a0Y110000008xp0EAA","false","4246","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34PEAS","green","No evidence of any problems with sexual development.","0","0.0","SEXUAL DEVELOPMENT","false","",""
"a0Y110000008xp1EAA","false","4247","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34PEAS","yellow","Mild to moderate problems with sexual development. May include concerns about sexual identity or anxiety about the reactions of others.","1","1.0","SEXUAL DEVELOPMENT","false","",""
"a0Y110000008xp2EAA","false","4248","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34PEAS","orange","Significant problems with sexual development. May include inappropriate or high-risk sexual behavior, distress due to gender identity issues, and/or some experience of negative reactions of others.","2","2.0","SEXUAL DEVELOPMENT","false","",""
"a0Y110000008xp3EAA","false","4249","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34PEAS","red","Profound problems with sexual development. This level would include prostitution, very frequent risky sexual behavior, or sexual aggression and/or the expectation of specific life-threatening reactions by others.","3","6.0","SEXUAL DEVELOPMENT","false","",""
"a0Y110000008xp4EAA","false","4250","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34qEAC","","","Presents a Risk","","Other","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xp5EAA","false","4251","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","005U0000001BHukIAG","2014-02-28T00:25:12.000Z","a0Z11000000D34qEAC","","","Does Not Present a Risk","","Other","false","","2.0"
"a0Y110000008xpQEAQ","false","4272","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34tEAC","","","Does Not Present a Risk","","Fencing","false","","2.0"
"a0Y110000008xpREAQ","false","4273","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34TEAS","","","Presents a Risk","","Medication administration","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpSEAQ","false","4274","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34TEAS","","","Does Not Present a Risk","","Medication administration","false","","2.0"
"a0Y110000008xpTEAQ","false","4275","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34uEAC","","","Presents a Risk","","Patios/decks","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpUEAQ","false","4276","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34uEAC","","","Does Not Present a Risk","","Patios/decks","false","","2.0"
"a0Y110000008xpVEAQ","false","4277","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34UEAS","","","Presents a Risk","","Complies w/ doctor medication orders","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpWEAQ","false","4278","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34UEAS","","","Does Not Present a Risk","","Complies w/ doctor medication orders","false","","2.0"
"a0Y110000008xpXEAQ","false","4279","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34vEAC","","","Presents a Risk","","Steps","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpYEAQ","false","4280","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34vEAC","","","Does Not Present a Risk","","Steps","false","","2.0"
"a0Y110000008xpZEAQ","false","4281","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","005U0000001BHukIAG","2014-02-28T00:25:13.000Z","a0Z11000000D34VEAS","","","Presents a Risk","","Poly-pharmacy","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpkEAA","false","4292","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34yEAC","","","Does Not Present a Risk","","Other","false","","2.0"
"a0Y110000008xplEAA","false","4293","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34YEAS","","","Presents a Risk","","Associates consequences with actions","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpmEAA","false","4294","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34YEAS","","","Does Not Present a Risk","","Associates consequences with actions","false","","2.0"
"a0Y110000008xpnEAA","false","4295","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34zEAC","","","Presents a Risk","","Walkways","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpoEAA","false","4296","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34zEAC","","","Does Not Present a Risk","","Walkways","false","","2.0"
"a0Y110000008xppEAA","false","4297","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34ZEAS","","","Presents a Risk","","Ability to seek assistance by phone or reliable resource in community","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpqEAA","false","4298","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D34ZEAS","","","Does Not Present a Risk","","Ability to seek assistance by phone or reliable resource in community","false","","2.0"
"a0Y110000008xprEAA","false","4299","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D350EAC","","","Presents a Risk","","Areas difficult to supervise","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xpsEAA","false","4300","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D350EAC","","","Does Not Present a Risk","","Areas difficult to supervise","false","","2.0"
"a0Y110000008xptEAA","false","4301","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","005U0000001BHukIAG","2014-02-28T00:25:15.000Z","a0Z11000000D351EAC","","","Presents a Risk","","Specify adaptations made to interior of home specific to the individual","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xq4EAA","false","4312","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D356EAC","","","Does Not Present a Risk","","Intersections","false","","2.0"
"a0Y110000008xq5EAA","false","4313","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D357EAC","","","Presents a Risk","","Railroad tracks","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xq6EAA","false","4314","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D357EAC","","","Does Not Present a Risk","","Railroad tracks","false","","2.0"
"a0Y110000008xq7EAA","false","4315","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D358EAC","","","Presents a Risk","","Outdoor swimming pools/lakes/ponds","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
"a0Y110000008xq8EAA","false","4316","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D358EAC","","","Does Not Present a Risk","","Outdoor swimming pools/lakes/ponds","false","","2.0"
"a0Y110000008xq9EAA","false","4317","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","005U0000001BHukIAG","2014-02-28T00:25:16.000Z","a0Z11000000D359EAC","","","Presents a Risk","","Other","true","Description_of_Risk__c,Plan_to_reduce_Risk__c","1.0"
